Name,Parent,Summons.psd,Spells.psd,ATK,HPS,SPD,INT,0
Newt ,Lizard,,,,,,,0
Nightingale ,Bird,,,,,,,0
Octopus ,,47,5,5,3,4,4,16
Opossum ,Mouse,,,,,,,0
Orangutan,Ape,,,,,,,
Oryx ,Antelope,,,,,,,0
Ostrich ,,48,5,2,2,2,2,8
Otter ,,49,2,2,3,3,3,11
Owl ,,50,6,4,3,4,4,15
Ox,,70,7,3,5,2,2,12
Pangolin,Armadillo,,,,,,,0
Panther,,45,5,5,5,4,2,16
Parrot ,,51,4,2,2,4,5,13
Partridge ,Bird,,,,,,,0
Peafowl ,Bird,,,,,,,0
Pelican ,Bird,,,,,,,0
Penguin ,Bird,,,,,,,0
Pig,,52,2,2,3,1,2,8
Pigeon ,Bird,,,,,,,0
Platypus ,,53,2,2,2,3,2,9
Pony ,Horse,,,,,,,0
Ponycorn,,54,4,5,5,5,5,20
Porcupine ,Hedgehog,,,,,,,0
Quelea ,Bird,,,,,,,0
Rabbit ,,55,5,2,1,4,2,9
Raccoon ,,56,1,2,2,3,3,10
Rail ,Bird,,,,,,,0
Ram ,,57,3,5,5,3,2,15
Rat ,,58,2,2,1,3,3,9
Raven ,Crow,,,,,,,0
Reindeer,Deer,,,,,,,0
Rhino,Rhinoceros,,,,,,,0
Rhinoceros ,,59,3,5,5,3,2,15
Roadrunner,Bird,,,,,,,
Rook ,Bird,,,,,,,0
Salamander ,Lizard,,,,,,,0
Seal ,Otter,,,,,,,0
Sealion,Otter,,,,,,,0
Serval,Leopard,,,,,,,0
Sheep ,,60,8,3,2,2,1,8
Shrew ,Rat,,,,,,,0
Skunk ,,61,1,2,2,2,2,8
Snake ,,62,4,2,1,3,2,8
Squid ,Octopus,,,,,,,0
Squirrel ,,63,2,2,1,3,3,9
Swallow ,Bird,,,,,,,0
Swan ,Bird,,,,,,,0
Tapir ,Capybara,,,,,,,0
Tarsier ,Raccoon,,,,,,,0
Tiger ,,64,1,5,4,4,4,17
Toad ,Frog,,,,,,,0
Tortoise,Turtle,,,,,,,0
Turkey ,Chicken,,,,,,,0
Turtle ,,65,4,4,3,1,3,11
Wallaby ,Kangaroo,,,,,,,0
Walrus ,,66,3,3,4,2,3,12
Wapiti,Deer,,,,,,,0
Weasel ,Mouse,,,,,,,0
Wolf ,,67,5,4,3,4,4,15
Wolverine,Otter,,,,,,,0
Wombat ,Beaver,,,,,,,0
Woodpecker ,Bird,,,,,,,0
Wren ,Bird,,,,,,,0
Yak ,Bison,,,,,,,0
Zebra ,,68,7,2,2,4,2,10
Aardwolf,Wolf,,,,,,,0
Anaconda,Snake,,,,,,,0
Marten,Mouse,,,,,,,0
Lemming,Groundhog,,,,,,,0
Argalis,Ram,,,,,,,0
Mongoose,Rat,,,,,,,0
Bandicoot,Mouse,,,,,,,0
Gecko,Lizard,,,,,,,0
Grizzly,Bear,,,,,,,0
Swan ,Bird,,,,,,,0
Boa,Snake,,,,,,,0
Capuchin,Ape,,,,,,,0
Caracal,Cat,,,,,,,0
Chipmunk,Squirrel,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,,,,0
